id,sku,prodcut_name,short_description,price,list_price,is_authentic,is_freeship_xtra,is_hero,discount,discount_rate,rating_average,review_count,favourite_count,inventory_status,sold_count,category_id,category_name,brand_id,brand_name,battery_capacity,brand_country,cpu_speed,sim_slot,product_weight,ram,rom,has_5g,number_options,warranty_time,warranty_type,warranty_place,return_policy
249168949,4419043364630,Điện thoại Samsung Galaxy A34 5G 8GB/128GB Bạc - Hàng chính hãng,"Đặc điểm nổi bật thiết kế sang trọng, siêu mỏng nhẹ chỉ 199 gam phân giải Full HD+, hình ảnh hiển thị sống độngChip Dimensity 1080 mạnh mẽ, nghe gọi, xem phim, lướt web mượt màBộ 3 camera sau 48MP...",7164000,7164000,True,True,True,0,0,0.0,0,0,available,,1795,Điện thoại Smartphone,18802,Samsung,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Không,,1 Năm,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
274840089,9036531246349,Máy tính bảng Samsung Galaxy Tab S9 Wifi 8GB_128GB - Hàng chính hãng," Máy Tính Bảng Samsung Galaxy Tab S8 5G sở hữu thiết kế mới đột phá có độ mỏng vô cùng ấn tượng, cấu hình mạnh mẽ, dung lượng pin khủng cùng với những tính năng tân tiến nhất hiện nay. Đây ...",19990000,19990000,True,False,False,0,0,0.0,0,0,available,,1794,Máy tính bảng,18802,Samsung,NULL,Hàn Quốc,NULL,NULL,NULL,NULL,NULL,Không,1.0,12 Tháng,Phiếu bảo hành,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
275773774,7865014825736,Điện thoại Xiaomi Redmi Note 13 (8GB/256GB) - Hàng chính hãng - Hàng Chính Hãng,"       Xiaomi Redmi Note 13 (8GB/256GB) được cho ra mắt tại thị trường Việt Nam, đánh dấu một bước tiến mới sau sự thành công của Redmi Note 12. Điện thoại sẽ làm nên cơn sốt, nhờ vào cấu hình mạn...",5890000,5990000,True,False,False,100000,2,0.0,0,0,available,,2,Root,25422,Xiaomi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Không,2.0,NULL,NULL,NULL,Đổi trả miễn phí trong 30 ngày
275543355,5851384501658,Điện thoại Samsung Galaxy Z Flip6 12GB/512GB - Độc quyền online - Hàng chính hãng,"[THÔNG SỐ KỸ THUẬT]Bộ vi xử lýTốc độ CPU: 3.36 GHz, 2.8GHz, 2GHzLoại CPU: 8 nhânHiển ThịKích cỡ (Màn hình chính): 170.3mm (6.7 inch hình chữ nhật hoàn chỉnh) / 166.4mm (6.6 inch tính đến các góc...",28990000,32990000,True,False,False,4000000,12,0.0,0,0,available,,1795,Điện thoại Smartphone,18802,Samsung,NULL,NULL,Đang cập nhật,Đang cập nhật,Đang cập nhật,NULL,NULL,Không,2.0,NULL,NULL,NULL,Đổi trả miễn phí trong 30 ngày
276306086,6931696306416,Galaxy Tab S6 Lite (2024) (LTE) - Hàng chính hãng,"THÔNG SỐ KỸ THUẬTKích cỡ (Màn hình chính): 10.4"""" (263.1mm)Camera chính - Độ phân giải: 8.0 MPTrọng lượng (g): 467Thời gian phát lại Video (Giờ): Lên tới 14Tốc độ CPU: 2.4GHz, 2GHzCameraCamera chính ...",7810000,8990000,True,False,False,1180000,13,0.0,0,0,available,,1794,Máy tính bảng,18802,Samsung,NULL,Hàn Quốc,NULL,NULL,NULL,NULL,NULL,Không,1.0,NULL,NULL,NULL,Đổi trả miễn phí trong 30 ngày
275386374,4905619580482,Điện Thoại Oppo A60 8GB/128GB - Hàng Chính Hãng,"Điện Thoại Oppo A60 8GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, sạc, cáp USB, dụng cụ lấy sim, vỏ bảo vệ, sách hướng dẫn. Màn hình sắc nét- Oppo A60 được trang bị trên tấm nền LTPS ...",5069000,5490000,True,False,True,421000,8,0.0,0,0,available,1.0,1795,Điện thoại Smartphone,25643,OPPO,5000 mAh,NULL,2.4 GHz,2,Nặng 186g,8GB,128gb,Không,1.0,12 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
276079472,2154217007888,Điện thoại OPPO Reno12 F 8GB/256GB - Hàng Chính Hãng,"       OPPO Reno12 F không chỉ thu hút người dùng nhờ thiết kế tinh tế và hiệu năng mạnh mẽ, mà còn bởi những tính năng tiên tiến đáp ứng mọi nhu cầu sử dụng. Dưới đây là các đặc điểm nổi bật của ...",8390000,8490000,True,False,False,100000,1,0.0,0,0,available,,2,Root,25643,OPPO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Không,2.0,1 Năm,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
274257669,4483255580669,Điện thoại Masstel Izi S1 4G (LTE) Gọi HD Call - Hàng chính hãng,"Thắng Thao Mobile cam kếtMáy chuẩn 4G không lo cắt sóng 2GHàng chính hãng mới 100%Bảo hành 12 thángTÍNH NĂNG NỔI BẬTMasstel IZI S1 4G, một chiếc điện thoại phổ thông sở hữu thiết kế cơ bản, bền bỉ c...",499000,569000,True,True,False,70000,12,0.0,0,0,available,,1796,Điện thoại phổ thông,112638,Masstel,1000 mah,NULL,NULL,NULL,NULL,NULL,NULL,Không,2.0,12 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
275775885,3617406945337,Điện thoại Xiaomi Redmi Note 13 Pro 5G 12GB/512GB - Hàng Chính Hãng,"       Sự ra mắt của Xiaomi Redmi Note 13 Pro 5G 12GB/512GB đã là một bước ngoặt ngoạn mục, khi được trang bị chip Snapdragon 7s Gen 2, camera 200 MP và hệ thống sạc nhanh 67W. Đây là những tính n...",10890000,10990000,True,False,False,100000,1,0.0,0,0,available,,2,Root,25422,Xiaomi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Không,,NULL,NULL,NULL,Đổi trả miễn phí trong 30 ngày
272273680,7151197509141,Điện thoại Samsung Galaxy A05s (4GB/128GB) - Hàng chính hãng ,"Màn hình 6.7 inch nâng cấp với độ phân giải FHD+Samsung Galaxy A05s 128GB có lẽ sẽ vẫn giữ thiết kế màn hình giọt nước quen thuộc, chứa camera trước và các cảm biến. Đồng thời với màn hình có kích th...",3489000,3489000,True,True,False,0,0,5.0,1,0,available,2.0,1795,Điện thoại Smartphone,18802,Samsung,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Không,2.0,1 Năm,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
248005118,9958323284837,Điện Thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng Chính Hãng,"Hiển thị sống động ngay cả khi sử dụng ngoài trờiVới độ sáng 1000 nits, màn hình Super AMOLED của Galaxy A34 5G cho khung hình hiển thị sáng rõ ngay cả ngoài trời nắng. Màn hình lớn 6,6 inch cùng t...",7164000,7164000,True,True,False,0,0,5.0,1,0,available,1.0,1795,Điện thoại Smartphone,18802,Samsung,5000,Hàn Quốc,"2.6GHz, 2GHz",SIM Kép,199 g,8 GB,128 GB,Có,3.0,12 Tháng,Hóa đơn,Bảo hành bởi nhà bán hàng thông qua Tiki,Đổi trả miễn phí trong 30 ngày
11802138,6658117286400,Điện thoại bàn Không Dây Lắp Sim Homephone Hp1002c,         Normal  0          false  false  false    EN-US  ZH-CN  X-NONE                                                                        <w:LatentSt...,1299000,1299000,True,False,False,0,0,3.8,12,0,available,96.0,8061,Điện thoại bàn,17825,HP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Không,2.0,12 tháng,NULL,NULL,Đổi trả miễn phí trong 30 ngày
249955152,5764012640931,Điện thoại Xiaomi Redmi Note 12 Pro 5G (8GB/256GB) - Hàng chính hãng,"Màn hình: AMOLED 6.67"", Full HD+ (1080 x 2400 Pixels)Hệ điều hành: Android 13Camera sau: 50 MP + 8 MP + 2 MPCamera trước: 16 MPChipset: MediaTek Dimensity 1080 8 nhânRAM: 8 GBBộ nhớ...",9000000,9000000,True,True,False,0,0,0.0,0,0,available,1.0,1795,Điện thoại Smartphone,25422,Xiaomi,NULL,NULL,2.6 GHz,2,187 g,NULL,NULL,Không,1.0,1 Năm,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
274375122,1728231541744,Điện thoại Xiaomi Redmi Note 13 Pro 4G (8GB/128GB) - Hàng chính hãng,"Màn hình: AMOLED 6.67"", Full HD+(1080 x 2400 pixels)Hệ điều hành: Android 13Camera sau: 200 MP + 8 MP + 2 MPCamera trước: 16 MPChipset: MediaTek Helio G99-Ultra 8 nhânRAM: 8 GBBộ...",7290000,7290000,True,True,False,0,0,0.0,0,0,available,,1795,Điện thoại Smartphone,25422,Xiaomi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Không,2.0,18 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
270814388,4607467260431,Điện thoại Tecno POVA 5 (8+8)/128GB - MediaTek Helio G99 - Sạc nhanh 45W - 6.8'' FHD+120HZ - Hàng Chính Hãng - BH 13 Tháng," *Thông số kỹ thuậtNền tảng chip 6nm Helio G99 ; Điểm Antutu +380.000Màn hình làm 6,78 FHD+120HzBộ nhớ vượt trội 128/256 + 8GBLàm mát Vapor Champer, âm thanh nổi kép YangĐộng cơ tuyến tính trụ...",3890000,4490000,True,False,False,600000,13,5.0,31,0,available,88.0,1795,Điện thoại Smartphone,162007,Tecno,NULL,NULL,NULL,2,NULL,NULL,NULL,Không,1.0,13 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
275774235,8155902470345,OPPO Reno12 5G 12G/512GB (Hồng) - Hàng Chính Hãng,"       Với sự hòa quyện tinh tế giữa thiết kế trẻ trung, hiện đại và khả năng AI thông minh, OPPO Reno12 512GB mang đến một hiệu năng mạnh mẽ đáng kinh ngạc. Đối với những ai yêu thích sự đổi mới ...",13890000,13990000,True,False,False,100000,1,0.0,0,0,available,,2,Root,25643,OPPO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Không,,NULL,NULL,NULL,Đổi trả miễn phí trong 30 ngày
274099409,1392882970251,Điện Thoại Xiaomi Redmi Note 13 8GB/128GB - Hàng Chính Hãng,"Điện Thoại Xiaomi Redmi Note 13 8GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Pin, sạc, cáp USB kiểu C, ốp lưng, hướng dẫn, cây tháo sim.Màn hình AMOLED sắc nét- Trang bị tấm nền AMOLED với độ p...",4549000,5290000,True,False,False,741000,14,5.0,1,0,available,3.0,1795,Điện thoại Smartphone,25422,Xiaomi,5000 mAh,NULL,2.8 GHz,2,Nặng 188.5 g,8GB,128GB,Không,1.0,18 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
